anio,gsex,mean
2018,ABC1-C2,5.94727272727273
2018,C3,6.02454780361757
2018,D,6.05626598465473
2018,E,6.28076923076923
2018,NS,5.64285714285714
2019,ABC1-C2,5.89020771513353
2019,C3,5.86649214659686
2019,D,5.97172619047619
2019,E,6.24774774774775
2019,NS,6
2021,ABC1-C2,6.07681940700809
2021,C3,5.99030470914127
2021,D,6.03188405797101
2021,E,6.05813953488372
2021,NS,6
